Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Internet Movie Database,Language,Metacritic,Metascore,Plot,Poster,Production,Rated,Released,Response,Rotten Tomatoes,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,movie_id,totalSeasons
"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",Won 2 Oscars. Another 58 wins & 91 nominations.,"$414,984,497",USA,2-Nov-10,Lee Unkrich,"Animation, Adventure, Comedy",8.3/10,"English, Spanish",92/100,92,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,Walt Disney Pictures,G,18-Jun-10,TRUE,99%,103 min,Toy Story 3,movie,http://www.disney.com/ToyStory,"John Lasseter (story by), Andrew Stanton (story by), Lee Unkrich (story by), Michael Arndt (screenplay by)",2010,tt0435761,8.3,"647,640",1,
"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway",Won 2 Oscars. Another 31 wins & 62 nominations.,"$319,323,000",USA,1-Jun-10,Tim Burton,"Adventure, Family, Fantasy",6.5/10,English,53/100,53,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",https://m.media-amazon.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_SX300.jpg,Walt Disney Pictures,PG,5-Mar-10,TRUE,51%,108 min,Alice in Wonderland,movie,http://disney.go.com/disneypictures/aliceinwonderland/,"Linda Woolverton (screenplay), Lewis Carroll (books)",2010,tt1014759,6.5,"343,212",2,
"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson",Nominated for 1 Oscar. Another 7 wins & 42 nominations.,"$312,057,433",USA,28-Sep-10,Jon Favreau,"Action, Adventure, Sci-Fi",7.0/10,"English, French, Russian",57/100,57,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",https://m.media-amazon.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_SX300.jpg,Paramount Studios,PG-13,7-May-10,TRUE,73%,124 min,Iron Man 2,movie,http://www.ironmanmovie.com/,"Justin Theroux (screenplay), Stan Lee (Marvel comic book), Don Heck (Marvel comic book), Larry Lieber (Marvel comic book), Jack Kirby (Marvel comic book)",2010,tt1228705,7,"612,890",3,
"Xavier Samuel, Kristen Stewart, Robert Pattinson, Billy Burke",22 wins & 34 nominations.,"$300,523,113",USA,4-Dec-10,David Slade,"Adventure, Drama, Fantasy",5.0/10,English,58/100,58,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",https://m.media-amazon.com/images/M/MV5BNDMwNjAzNzYwOF5BMl5BanBnXkFtZTcwMDY5NzcyMw@@._V1_SX300.jpg,Summit Entertainment,PG-13,30-Jun-10,TRUE,48%,124 min,The Twilight Saga: Eclipse,movie,http://www.eclipsethemovie.com/,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)",2010,tt1325004,5,"203,266",4,
"Bill Nighy, Emma Watson, Richard Griffiths, Harry Melling",Nominated for 2 Oscars. Another 15 wins & 53 nominations.,"$294,980,434","UK, USA",15-Apr-11,David Yates,"Adventure, Family, Fantasy",7.7/10,English,65/100,65,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",https://m.media-amazon.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,19-Nov-10,TRUE,78%,146 min,Harry Potter and the Deathly Hallows: Part 1,movie,http://www.HarryPotter.com/,"Steve Kloves (screenplay), J.K. Rowling (novel)",2010,tt0926084,7.7,"397,010",5,
"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",Won 4 Oscars. Another 152 wins & 204 nominations.,"$292,568,851","USA, UK",7-Dec-10,Christopher Nolan,"Action, Adventure, Sci-Fi",8.8/10,"English, Japanese, French",74/100,74,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,16-Jul-10,TRUE,86%,148 min,Inception,movie,http://inceptionmovie.warnerbros.com/,Christopher Nolan,2010,tt1375666,8.8,"1,745,967",6,
"Steve Carell, Jason Segel, Russell Brand, Julie Andrews",Nominated for 1 Golden Globe. Another 3 wins & 40 nominations.,"$251,476,985","USA, France",14-Dec-10,"Pierre Coffin, Chris Renaud","Animation, Comedy, Family",7.7/10,English,72/100,72,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_SX300.jpg,Universal Pictures,PG,9-Jul-10,TRUE,81%,95 min,Despicable Me,movie,http://www.despicable.me,"Cinco Paul (screenplay by), Ken Daurio (screenplay by), Sergio Pablos (based on a story by)",2010,tt1323594,7.7,"443,578",7,
"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas",1 win & 13 nominations.,"$238,319,043",USA,7-Dec-10,Mike Mitchell,"Animation, Adventure, Comedy",6.3/10,English,58/100,58,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpel rules supreme.,https://m.media-amazon.com/images/M/MV5BMTY0OTU1NzkxMl5BMl5BanBnXkFtZTcwMzI2NDUzMw@@._V1_SX300.jpg,Paramount,PG,21-May-10,TRUE,58%,93 min,Shrek Forever After,movie,http://www.shrekforeverafter.com/,"William Steig (based upon the book by), Josh Klausner, Darren Lemke",2010,tt0892791,6.3,"158,350",8,
"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera",Nominated for 2 Oscars. Another 25 wins & 60 nominations.,"$216,900,000",USA,15-Oct-10,"Dean DeBlois, Chris Sanders","Animation, Action, Adventure",8.1/10,English,74/100,74,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_SX300.jpg,Paramount/DWA,PG,26-Mar-10,TRUE,98%,98 min,How to Train Your Dragon,movie,http://www.HowToTrainYourDragon.com/,"William Davies (screenplay by), Dean DeBlois (screenplay by), Chris Sanders (screenplay by), Cressida Cowell (based on the book by)",2010,tt0892769,8.1,"578,657",9,
"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",Nominated for 1 Oscar. Another 9 wins & 40 nominations.,"$200,803,309",USA,29-Mar-11,"Nathan Greno, Byron Howard","Animation, Adventure, Comedy",7.8/10,English,71/100,71,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,Walt Disney Pictures,PG,24-Nov-10,TRUE,89%,100 min,Tangled,movie,http://Disney.com/Tangled,"Dan Fogelman (screenplay by), Jacob Grimm (based upon the fairy tale ""Rapunzel"" by), Wilhelm Grimm (based upon the fairy tale ""Rapunzel"" by)",2010,tt0398286,7.8,"346,814",10,
"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han",5 wins & 12 nominations.,"$176,591,618","USA, China",5-Oct-10,Harald Zwart,"Action, Drama, Family",6.2/10,"English, Mandarin",61/100,61,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",https://m.media-amazon.com/images/M/MV5BMTQ0ODg3ODEyMF5BMl5BanBnXkFtZTcwNjI1MTgxMw@@._V1_SX300.jpg,Sony Pictures,PG,11-Jun-10,TRUE,65%,140 min,The Karate Kid,movie,http://www.sonypictures.com/movies/thekaratekid/,"Christopher Murphey (screenplay), Robert Mark Kamen (story)",2010,tt1155076,6.2,"139,422",11,
"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",Nominated for 1 Oscar. Another 10 wins & 49 nominations.,"$172,051,787",USA,5-Apr-11,Joseph Kosinski,"Action, Adventure, Sci-Fi",6.8/10,English,49/100,49,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,https://m.media-amazon.com/images/M/MV5BMTk4NTk4MTk1OF5BMl5BanBnXkFtZTcwNTE2MDIwNA@@._V1_SX300.jpg,Walt Disney Pictures,PG,17-Dec-10,TRUE,51%,125 min,TRON: Legacy,movie,http://Disney.com/TRON,"Edward Kitsis (screenplay), Adam Horowitz (screenplay), Edward Kitsis (story), Adam Horowitz (story), Brian Klugman (story), Lee Sternthal (story), Steven Lisberger (characters), Bonnie MacBird (characters)",2010,tt1104001,6.8,"288,220",12,
