,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Rotten Tomatoes,Runtime,Title,Website,Writer,Year,imdbID,imdbRating,imdbVotes,movie_id,totalSeasons
0,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",Won 2 Oscars. Another 58 wins & 91 nominations.,414984497,USA,2-Nov-10,Lee Unkrich,"Animation, Adventure, Comedy","English, Spanish",92.0,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,Walt Disney Pictures,G,18-Jun-10,TRUE,99,103,Toy Story 3,http://www.disney.com/ToyStory,"John Lasseter (story by), Andrew Stanton (story by), Lee Unkrich (story by), Michael Arndt (screenplay by)",2010,tt0435761,8.3,647640,1,-1.0
1,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway",Won 2 Oscars. Another 31 wins & 62 nominations.,319323000,USA,1-Jun-10,Tim Burton,"Adventure, Family, Fantasy",English,53.0,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",https://m.media-amazon.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_SX300.jpg,Walt Disney Pictures,PG,5-Mar-10,TRUE,51,108,Alice in Wonderland,http://disney.go.com/disneypictures/aliceinwonderland/,"Linda Woolverton (screenplay), Lewis Carroll (books)",2010,tt1014759,6.5,343212,2,-1.0
2,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson",Nominated for 1 Oscar. Another 7 wins & 42 nominations.,312057433,USA,28-Sep-10,Jon Favreau,"Action, Adventure, Sci-Fi","English, French, Russian",57.0,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",https://m.media-amazon.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_SX300.jpg,Paramount Studios,PG-13,7-May-10,TRUE,73,124,Iron Man 2,http://www.ironmanmovie.com/,"Justin Theroux (screenplay), Stan Lee (Marvel comic book), Don Heck (Marvel comic book), Larry Lieber (Marvel comic book), Jack Kirby (Marvel comic book)",2010,tt1228705,7.0,612890,3,-1.0
3,"Xavier Samuel, Kristen Stewart, Robert Pattinson, Billy Burke",22 wins & 34 nominations.,300523113,USA,4-Dec-10,David Slade,"Adventure, Drama, Fantasy",English,58.0,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",https://m.media-amazon.com/images/M/MV5BNDMwNjAzNzYwOF5BMl5BanBnXkFtZTcwMDY5NzcyMw@@._V1_SX300.jpg,Summit Entertainment,PG-13,30-Jun-10,TRUE,48,124,The Twilight Saga: Eclipse,http://www.eclipsethemovie.com/,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)",2010,tt1325004,5.0,203266,4,-1.0
4,"Bill Nighy, Emma Watson, Richard Griffiths, Harry Melling",Nominated for 2 Oscars. Another 15 wins & 53 nominations.,294980434,"UK, USA",15-Apr-11,David Yates,"Adventure, Family, Fantasy",English,65.0,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",https://m.media-amazon.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,19-Nov-10,TRUE,78,146,Harry Potter and the Deathly Hallows: Part 1,http://www.HarryPotter.com/,"Steve Kloves (screenplay), J.K. Rowling (novel)",2010,tt0926084,7.7,397010,5,-1.0
5,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",Won 4 Oscars. Another 152 wins & 204 nominations.,292568851,"USA, UK",7-Dec-10,Christopher Nolan,"Action, Adventure, Sci-Fi","English, Japanese, French",74.0,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,16-Jul-10,TRUE,86,148,Inception,http://inceptionmovie.warnerbros.com/,Christopher Nolan,2010,tt1375666,8.8,1745967,6,-1.0
6,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews",Nominated for 1 Golden Globe. Another 3 wins & 40 nominations.,251476985,"USA, France",14-Dec-10,"Pierre Coffin, Chris Renaud","Animation, Comedy, Family",English,72.0,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_SX300.jpg,Universal Pictures,PG,9-Jul-10,TRUE,81,95,Despicable Me,http://www.despicable.me,"Cinco Paul (screenplay by), Ken Daurio (screenplay by), Sergio Pablos (based on a story by)",2010,tt1323594,7.7,443578,7,-1.0
7,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas",1 win & 13 nominations.,238319043,USA,7-Dec-10,Mike Mitchell,"Animation, Adventure, Comedy",English,58.0,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpel rules supreme.,https://m.media-amazon.com/images/M/MV5BMTY0OTU1NzkxMl5BMl5BanBnXkFtZTcwMzI2NDUzMw@@._V1_SX300.jpg,Paramount,PG,21-May-10,TRUE,58,93,Shrek Forever After,http://www.shrekforeverafter.com/,"William Steig (based upon the book by), Josh Klausner, Darren Lemke",2010,tt0892791,6.3,158350,8,-1.0
8,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera",Nominated for 2 Oscars. Another 25 wins & 60 nominations.,216900000,USA,15-Oct-10,"Dean DeBlois, Chris Sanders","Animation, Action, Adventure",English,74.0,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_SX300.jpg,Paramount/DWA,PG,26-Mar-10,TRUE,98,98,How to Train Your Dragon,http://www.HowToTrainYourDragon.com/,"William Davies (screenplay by), Dean DeBlois (screenplay by), Chris Sanders (screenplay by), Cressida Cowell (based on the book by)",2010,tt0892769,8.1,578657,9,-1.0
9,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",Nominated for 1 Oscar. Another 9 wins & 40 nominations.,200803309,USA,29-Mar-11,"Nathan Greno, Byron Howard","Animation, Adventure, Comedy",English,71.0,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,Walt Disney Pictures,PG,24-Nov-10,TRUE,89,100,Tangled,http://Disney.com/Tangled,"Dan Fogelman (screenplay by), Jacob Grimm (based upon the fairy tale ""Rapunzel"" by), Wilhelm Grimm (based upon the fairy tale ""Rapunzel"" by)",2010,tt0398286,7.8,346814,10,-1.0
