


Network Metrics for year 2010

Film                   Btwns Cntr    Degree    Clstr Coef.
-------------------  ------------  --------  -------------
1                               0         0              0
sony                            0         3              1
fox                             0         0              2
ifc                             0         0              3
warner                          0         2              4
lionsgate                       0         0              5
magnolia                        0         0              6
universal                       0         2              7
paramount                       0         2              8
first run                       0         0              9
strand                          0         0             10
disney                          0         0             11
utv                             0         0             12
lorbers                         0         0             13
eros                            0         0             14
regent                          0         1             15
roadside attraction             0         0             16
music boxs                      0         0             17
weinstein                       0         1             18
cinema purgatorio               0         0             19
focus                           0         0             20
oscilloscope                    0         0             21
independent                     0         0             22
samuel goldwyns                 0         2             23
cinema guild                    0         0             24
kino                            0         0             25
columbia                        0         1              1
indican                         0         0             26
freestyle                       0         0             27
heres                           0         1             15
film movement                   0         0             28
variance                        0         0             29
rogue                           0         1              7
screen                          0         0             30
zeitgeists                      0         0             31
paladin                         0         0             32
anchor bay                      0         0             33
touchstone                      0         1             34
overtures                       0         0             35
phase 4s                        0         0             36
balcony                         0         0             37
reliance                        0         0             38
cbss                            0         0             39
image                           0         0             40
national geographic             0         0             41
olives                          0         0             42
anchor bays                     0         0             43
hannover house                  0         0             44
argot                           0         0             45
miramax                         0         1             34
gkids                           0         0             46
dreamworks                      0         1              8
pbs                             0         0             47
grassrootss                     0         0             48
mgm                             0         0             49
cinedigm                        0         0             50
phase 4                         0         0             51
yash rajs                       0         0             52
rocky mountain                  0         0             53
republic                        0         0             54
seventh art                     0         0             55
10 west                         0         0             56
bigs                            0         0             57
gener8xion                      0         0             58
china                           0         0             59
ripple effects                  0         0             60
gravitas                        0         0             61
copacetic                       0         0             62
newmarkets                      0         0             63
rockstone                       0         0             64
freestlye                       0         0             65
delaware                        0         0             66
naedomi                         0         0             67
mitropouloss                    0         0             68
ato                             0         0             69
ocscilloscope                   0         0             70
syfy                            0         0             71
abarorama                       0         0             72
thelaborative                   0         0             73
arthouses                       0         0             74
dimensions                      0         1             18
embrem                          0         0             75
area23a                         0         0             76
idp                             0         1             23
arthouse                        0         0             77
3d ltd                          0         0             78
spyglass                        0         1              7
cinema libre                    0         0             79
flashlight                      0         0             80
vitagraph                       0         0             81
vivendi                         0         0             82
cfi                             0         0             83
benaroya                        0         0             84
nocturnal                       0         0             85
morning star                    0         0             86
well go                         0         0             87
inimitable                      0         0             88
apparition                      0         0             89
walking shadows                 0         0             90
zipporahs                       0         0             91
alliance                        0         0             92
mpi                             0         0             93
drafthouses                     0         0             94
red flag                        0         0             95
taewon                          0         0             96
rhino                           0         0             97
dadas                           0         1             98
wishbones                       0         0             99
bluelar                         0         0            100
news                            0         0            101
408s                            0         0            102
new generations                 0         0            103
mac                             0         0            104
indievest                       0         0            105
e1                              0         0            106
first look                      0         0            107
artist view                     0         0            108
eleven arts                     0         0            109
new yorkers                     0         0            110
curious                         0         0            111
parallel                        0         0            112
visio                           0         0            113
littlepany                      0         1             98
first independent               0         0            114
independents                    0         0            115
paramount vantage               0         0            116
mangusta                        0         0            117
destinations                    0         1             23
worldplay                       0         0            118
mtvs                            0         1              8
new video                       0         0            119
videa c d e                     0         0            120
monterey                        0         0            121


Network Metrics for year 2011

Film                        Btwns Cntr    Degree    Clstr Coef.
------------------------  ------------  --------  -------------
sony                                 0         3              0
1                                    0         0              1
ifc                                  0         0              2
fox                                  0         0              3
warner                               0         1              4
independent                          0         0              5
paramount                            0         1              6
universal                            0         0              7
magnolia                             0         0              8
lionsgate                            0         0              9
eros                                 0         0             10
weinstein                            0         1             11
roadside attraction                  0         0             12
first run                            0         0             13
variance                             0         1             14
disney                               0         1             15
samuel goldwyns                      0         1             16
lorbers                              0         0             17
music boxs                           0         0             18
strand                               0         0             19
utv                                  0         0             20
film movement                        0         0             21
freestyle                            0         0             22
relativity                           0         0             23
focus                                0         0             24
national geographic                  0         0             25
international circuit                0         0             26
anchor bay                           0         0             27
zeitgeists                           0         0             28
reliance                             0         0             29
screen                               0         0             30
dreamworks                           0         1              6
magnet                               0         0             31
oscilloscope                         0         0             32
monterey                             0         0             33
cinema guild                         0         0             34
china lions                          0         0             35
phase 4s                             0         0             36
filmdistrict                         0         1             37
rocky mountain                       0         0             38
image                                0         0             39
hannover house                       0         0             40
anchor bays                          0         0             41
kino lorber                          0         0             42
millennium                           0         0             43
idp                                  0         2             16
dadas                                0         0             44
olives                               0         0             45
lorber                               0         0             46
paladin                              0         0             47
screens                              0         0             48
china lion                           0         0             49
cbss                                 0         0             50
balcony                              0         0             51
cohen                                0         0             52
truly indie                          0         0             53
cinema libre                         0         0             54
abramorama                           0         0             55
area23a                              0         0             56
pantelions                           0         0             57
eleven arts                          0         0             58
argot                                0         0             59
vitagraphs                           0         0             60
imax                                 0         1              4
columbia                             0         1              0
icaruss                              0         0             61
paladins                             0         0             62
visigoth                             0         1             63
rialto                               0         0             64
odeon                                0         0             65
radical                              0         0             66
insurgent                            0         0             67
senator                              0         0             68
docuramas                            0         0             69
dimension                            0         1             11
well go                              0         1             14
ato                                  0         1             16
moving                               0         0             70
corinths                             0         0             71
codeblack                            0         0             72
cj                                   0         0             73
desk                                 0         0             74
submarine                            0         0             75
ovalemacher                          0         0             76
newmarkets llc                       0         0             77
emerging                             0         0             78
new yorker                           0         0             79
miramax                              0         0             80
midnight                             0         0             81
long shot factory                    0         0             82
103 pics                             0         0             83
in family llc                        0         0             84
kristin marie                        0         0             85
filmdemic                            0         0             86
cinema                               0         0             87
gkids                                0         0             88
yash rajs                            0         0             89
newmarkets                           0         0             90
tribeca                              0         0             91
oscilloscope labs                    0         0             92
tristar                              0         1             37
film district                        0         0             93
new video                            0         0             94
seven artss                          0         0             95
pmk bnc                              0         0             96
montfort producciones                0         0             97
astrea                               0         0             98
sonyumbia                            0         0             99
midwests                             0         0            100
dosazoness                           0         0            101
tostie                               0         0            102
district                             0         0            103
open roads                           0         0            104
neoclassicss                         0         0            105
januss                               0         0            106
disneynature                         0         0            107
arc                                  0         0            108
fourth horizon                       0         0            109
independents                         0         0            110
catagory ones                        0         0            111
distracted house lights              0         0            112
monica beach enterprises             0         0            113
kino                                 0         0            114
maya                                 0         0            115
pixar                                0         1             15
affrm                                0         1             63
entertainment one                    0         0            116
steamboat rock                       0         0            117
cinedigm                             0         0            118
indican                              0         0            119
smodcast                             0         0            120
extra butter                         0         0            121
gravitas                             0         0            122
gold lion china                      0         0            123
cinema purgatorio                    0         0            124
cavu                                 0         0            125
bigfoot ascendant                    0         0            126


Network Metrics for year 2012

Film                            Btwns Cntr    Degree    Clstr Coef.
----------------------------  ------------  --------  -------------
1                                        0         0              0
ifc                                      0         1              1
sony                                     0         1              2
magnolia                                 0         0              3
fox                                      0         0              4
lionsgate                                0         3              5
warner                                   0         0              6
first run                                0         0              7
eros                                     0         0              8
weinstein                                0         0              9
universal                                0         0             10
utv                                      0         0             11
strand                                   0         0             12
independent                              0         0             13
paramount                                0         1             14
samuel goldwyns                          0         1             15
tribeca                                  0         0             16
roadside attraction                      0         1             17
variance                                 0         2             18
rocky mountain                           0         0             19
oscilloscope                             0         0             20
focus                                    0         0             21
well go                                  0         1             18
kino lorbers                             0         0             22
millennium                               0         0             23
china lion                               0         0             24
monterey                                 0         0             25
film movement                            0         0             26
music boxs                               0         0             27
disney                                   0         0             28
indican                                  0         0             29
cinema guild                             0         0             30
zeitgeists                               0         0             31
international circuit                    0         0             32
entertainment one                        0         0             33
relativity                               0         0             34
midnight                                 0         0             35
drafthouses                              0         0             36
cinedigm                                 0         0             37
open roads                               0         0             38
ato                                      0         1             15
china lions                              0         0             39
kino lorber                              0         0             40
abramorama                               0         0             41
arc                                      0         0             42
cbss                                     0         0             43
columbia                                 0         1              2
pantelions                               0         1              5
wrekin hill                              0         0             44
sundance selects                         0         1              1
paladins                                 0         0             45
dreamworks                               0         1             14
cohen                                    0         0             46
adopts                                   0         0             47
yash rajs                                0         0             48
freestyle                                0         0             49
gkids                                    0         0             50
film district                            0         0             51
anchor bay                               0         0             52
dadas                                    0         0             53
area23a                                  0         0             54
affrm                                    0         0             55
idp                                      0         2             15
argot                                    0         0             56
area 23a                                 0         0             57
outsider                                 0         0             58
indomina                                 0         0             59
filmdistrict                             0         0             60
vitagraphs                               0         0             61
cj                                       0         0             62
ld                                       0         0             63
cinema libre                             0         0             64
mgm                                      0         0             65
image                                    0         0             66
screenvision                             0         0             67
aniplex                                  0         0             68
3d                                       0         0             69
dramatic forces                          0         0             70
truly indie                              0         0             71
radius                                   0         0             72
corinths                                 0         0             73
codeblack                                0         0             74
hbos                                     0         0             75
barbossa                                 0         1             17
big balloon adventure movies             0         0             76
fip                                      0         0             77
datari turner                            0         0             78
rocky mtn                                0         0             79
long shot factory                        0         0             80
icarus                                   0         0             81
after darks                              0         0             82
arcade                                   0         0             83
dutchmans                                0         0             84
transparentworks                         0         0             85
magnet                                   0         0             86
go digital                               0         0             87
afterlight                               0         0             88
pmk bncs                                 0         0             89
screen                                   0         0             90
indepedent                               0         0             91
dharma                                   0         0             92
pmk bnc                                  0         0             93
screens                                  0         0             94
lokis                                    0         0             95
pillens farm                             0         0             96
wolfe                                    0         0             97
national geographic                      0         0             98
unstoppable                              0         0             99
disneynature                             0         0            100
imax                                     0         0            101
prophets son llc                         0         0            102
indominas                                0         0            103
prophet s son llc                        0         0            104
filmbuff                                 0         0            105
producers agency                         0         0            106
7a                                       0         1             18
icaruss                                  0         0            107
reliance                                 0         0            108
studio canal                             0         0            109
g b kas                                  0         0            110
brainstorm                               0         0            111
s2bns                                    0         0            112
e1                                       0         0            113
metro goldwyn mayer                      0         0            114
anchor bays                              0         0            115
eleven arts                              0         0            116
paramount vantage                        0         0            117
new yorkers                              0         0            118
artaffects                               0         0            119
mpi                                      0         0            120
abrorama                                 0         0            121
millenniums                              0         0            122
centre of national                       0         0            123
independents                             0         0            124
strategics                               0         0            125


Network Metrics for year 2013

Film                                   Btwns Cntr    Degree    Clstr Coef.
-----------------------------------  ------------  --------  -------------
1                                               0         0              0
ifc                                             0         0              1
magnolia                                        0         0              2
sony                                            0         0              3
lionsgate                                       0         4              4
warner                                          0         0              5
fox                                             0         0              6
first run                                       0         0              7
weinstein                                       0         0              8
universal                                       0         0              9
eros                                            0         0             10
tribeca                                         0         0             11
cinedigm                                        0         1             12
disney                                          0         0             13
variance                                        0         0             14
millennium                                      0         0             15
independent                                     0         1             16
kino lorber                                     0         0             17
utv                                             0         0             18
well go                                         0         0             19
relativity                                      0         0             20
anchor bays                                     0         0             21
roadside attraction                             0         1              4
cohen                                           0         0             22
radius                                          0         0             23
strand                                          0         0             24
oscilloscope                                    0         0             25
paramount                                       0         0             26
anchor bay                                      0         0             27
music boxs                                      0         0             28
freestyle                                       0         0             29
film movement                                   0         0             30
cbss                                            0         0             31
entertainment one                               0         0             32
zeitgeists                                      0         0             33
open roads                                      0         0             34
focus                                           0         0             35
monterey                                        0         0             36
filmdistrict                                    0         0             37
samuel goldwyns                                 0         1             38
abramorama                                      0         0             39
cinema guild                                    0         0             40
reliance                                        0         0             41
china lion                                      0         0             42
arcade                                          0         0             43
international circuit                           0         0             44
image                                           0         1             45
cj                                              0         0             46
paladins                                        0         0             47
high top                                        0         0             48
drafthouses                                     0         0             49
kino lorbers                                    0         0             50
idp                                             0         2             38
a24                                             0         0             51
ketchup                                         0         0             52
rlj                                             0         1             45
wolfe                                           0         0             53
exclusive                                       0         0             54
screen                                          0         0             55
adopts                                          0         0             56
filmbuff                                        0         0             57
tristar                                         0         0             58
area 23a                                        0         0             59
eones                                           0         0             60
argot                                           0         0             61
paladin                                         0         0             62
distribs                                        0         0             63
dadas                                           0         0             64
rialtos                                         0         0             65
china lions                                     0         0             66
gravitas                                        0         0             67
archstone                                       0         0             68
aaffrm                                          0         0             69
submarine                                       0         0             70
dead patriots                                   0         0             71
arenas                                          0         0             72
house lights                                    0         0             73
miasmas                                         0         0             74
asl                                             0         0             75
echolight                                       0         0             76
river rains                                     0         0             77
rada                                            0         0             78
doppelg nger                                    0         0             79
rocky mountain                                  0         0             80
entertianment ones                              0         0             81
bonfires                                        0         0             82
film worksho                                    0         0             83
magnet                                          0         0             84
emerging                                        0         0             85
codeblacks                                      0         1              4
area23                                          0         0             86
gathrs                                          0         0             87
doppelganger                                    0         0             88
gkids                                           0         0             89
yash rajs                                       0         0             90
starz                                           0         0             91
ato                                             0         1             38
liberty streets                                 0         0             92
sundance selects                                0         0             93
s                                               0         0             94
striped                                         0         0             95
hightop                                         0         0             96
metrodome dist                                  0         1             16
thelective                                      0         0             97
area 51                                         0         0             98
pathlight                                       0         0             99
future educationals                             0         0            100
rcr                                             0         0            101
meneret                                         0         0            102
passion rivers                                  0         0            103
hbo documentary                                 0         0            104
tommy foundation                                0         0            105
gogogo                                          0         0            106
gabriel s messengers                            0         0            107
januss                                          0         0            108
mehboob                                         0         0            109
tio papi movie                                  0         0            110
arc                                             0         0            111
vladerpany                                      0         0            112
picturehouses                                   0         0            113
zipporah                                        0         0            114
autlooksales gmbh                               0         0            115
ghost                                           0         0            116
nocoast artists                                 0         0            117
breaking glass                                  0         0            118
oprah winfrey network                           0         0            119
cinema purgatorio                               0         0            120
acne ab                                         0         0            121
hammond                                         0         0            122
purdie                                          0         0            123
vitagraphs                                      0         0            124
cold spring                                     0         0            125
participant                                     0         0            126
dreamworks                                      0         0            127
docurama                                        0         1             12
single shot                                     0         0            128
steelyard                                       0         0            129
open road                                       0         0            130
active fox                                      0         0            131
black chalk                                     0         0            132
leisure time                                    0         0            133
cinema libre                                    0         0            134
xlrator                                         0         0            135
swan design                                     0         0            136
affidavit llc                                   0         0            137
brainstorm                                      0         0            138
imax                                            0         0            139
rockstone                                       0         0            140
indican                                         0         0            141
excel                                           0         0            142
eleven arts                                     0         0            143
under milky way                                 0         0            144
one earth                                       0         0            145
centro nacional aut nomo detograf a             0         0            146
vertical                                        0         0            147
paragraph                                       0         0            148
indomina                                        0         0            149
pan                                             0         0            150
vitagraph                                       0         0            151
national geographic                             0         0            152
area 23as                                       0         0            153
drafthouse recommends                           0         0            154
wamcr                                           0         0            155
freestyle digital                               0         0            156
beckman unicorn                                 0         0            157


Network Metrics for year 2014

Film                       Btwns Cntr    Degree    Clstr Coef.
-----------------------  ------------  --------  -------------
ifc                                 0         0              0
sony                                0         2              1
fox                                 0         0              2
1                                   0         0              3
warner                              0         0              4
magnolia                            0         1              5
lionsgate                           0         3              6
universal                           0         0              7
disney                              0         0              8
weinstein                           0         0              9
music boxs                          0         0             10
paramount                           0         0             11
first run                           0         0             12
strand                              0         0             13
focus                               0         1             14
well go                             0         0             15
radius                              0         0             16
monterey                            0         0             17
freestyle                           0         1             18
roadside attraction                 0         1              6
a24                                 0         1             19
utv                                 0         0             20
cohen                               0         0             21
film movement                       0         0             22
tribeca                             0         0             23
drafthouses                         0         0             24
relativity                          0         0             25
open roads                          0         0             26
variance                            0         0             27
kino lorber                         0         0             28
eros                                0         0             29
samuel goldwyns                     0         1             30
china lion                          0         0             31
kino lorbers                        0         0             32
abramorama                          0         0             33
cinema guild                        0         0             34
millennium                          0         0             35
zeitgeists                          0         0             36
eleven arts                         0         0             37
oscilloscope                        0         0             38
magnet                              0         1              5
cj                                  0         0             39
rocky mountain                      0         0             40
entertainment one                   0         0             41
clarius                             0         0             42
starz digital                       0         0             43
indican                             0         0             44
gkids                               0         0             45
reliance                            0         0             46
amplify                             0         0             47
icaruss                             0         0             48
argot                               0         0             49
idp                                 0         1             30
ketchup                             0         0             50
bond360                             0         0             51
cinema purgatorio                   0         0             52
cinedigm digital                    0         0             53
entertainment ones                  0         0             54
cbss                                0         0             55
international circuit               0         0             56
distribs                            0         0             57
china lions                         0         0             58
submarine                           0         0             59
cinedigm                            0         0             60
thelaborative                       0         0             61
shout factory                       0         0             62
rialtos                             0         0             63
dadas                               0         0             64
picturehouses                       0         0             65
directv                             0         1             19
gravitas                            0         0             66
hbos                                0         0             67
idyllic                             0         0             68
babas                               0         0             69
momentum                            0         0             70
